Container;Treatment;Tr. nb;Day;Larval stage
1;Constant;1;1;1.0
2;Curve 2;4;1;1.0
3;Curve;3;1;1.0
4;Block;2;1;1.0
5;Curve;3;1;1.0
6;Curve 2;4;1;1.0
7;Constant;1;1;1.0
8;Block;2;1;1.0
9;Curve;3;1;1.0
10;Block;2;1;1.0
11;Constant;1;1;1.0
12;Curve 2;4;1;1.0
13;Constant;1;1;1.0
14;Block;2;1;1.0
15;Curve;3;1;1.0
16;Curve 2;4;1;1.0
17;Constant;1;1;1.0
18;Curve 2;4;1;1.0
19;Curve;3;1;1.0
20;Block;2;1;1.0
1;Constant;1;2;1.0
2;Curve 2;4;2;1.0
3;Curve;3;2;1.0
4;Block;2;2;1.0
5;Curve;3;2;1.0
6;Curve 2;4;2;1.0
7;Constant;1;2;1.07
8;Block;2;2;1.0
9;Curve;3;2;1.0
10;Block;2;2;1.0
11;Constant;1;2;1.12
12;Curve 2;4;2;1.0
13;Constant;1;2;1.24
14;Block;2;2;1.0
15;Curve;3;2;1.0
16;Curve 2;4;2;1.05
17;Constant;1;2;1.0
18;Curve 2;4;2;1.0
19;Curve;3;2;1.05
20;Block;2;2;1.11
1;Constant;1;3;1.24
2;Curve 2;4;3;1.32
3;Curve;3;3;1.32
4;Block;2;3;1.18
5;Curve;3;3;1.64
6;Curve 2;4;3;1.57
7;Constant;1;3;1.35
8;Block;2;3;1.29
9;Curve;3;3;1.48
10;Block;2;3;1.29
11;Constant;1;3;1.4
12;Curve 2;4;3;1.36
13;Constant;1;3;1.33
14;Block;2;3;1.43
15;Curve;3;3;1.38
16;Curve 2;4;3;1.54
17;Constant;1;3;1.29
18;Curve 2;4;3;1.33
19;Curve;3;3;1.25
20;Block;2;3;1.48
1;Constant;1;6;1.95
2;Curve 2;4;6;2.35
3;Curve;3;6;2.79
4;Block;2;6;2.64
5;Curve;3;6;2.74
6;Curve 2;4;6;2.69
7;Constant;1;6;2.68
8;Block;2;6;2.5
9;Curve;3;6;2.56
10;Block;2;6;2.52
11;Constant;1;6;2.57
12;Curve 2;4;6;2.74
13;Constant;1;6;2.12
14;Block;2;6;2.5
15;Curve;3;6;2.87
16;Curve 2;4;6;2.82
17;Constant;1;6;1.95
18;Curve 2;4;6;2.35
19;Curve;3;6;2.57
20;Block;2;6;2.78
1;Constant;1;7;2.15
2;Curve 2;4;7;2.7
3;Curve;3;7;3.12
4;Block;2;7;2.65
5;Curve;3;7;3.38
6;Curve 2;4;7;2.95
7;Constant;1;7;2.9
8;Block;2;7;2.64
9;Curve;3;7;2.96
10;Block;2;7;2.97
11;Constant;1;7;2.11
12;Curve 2;4;7;3.07
13;Constant;1;7;2.09
14;Block;2;7;2.81
15;Curve;3;7;3.07
16;Curve 2;4;7;3.13
17;Constant;1;7;2.1
18;Curve 2;4;7;2.9
19;Curve;3;7;2.67
20;Block;2;7;2.68
1;Constant;1;8;2.0
2;Curve 2;4;8;3.17
3;Curve;3;8;2.96
4;Block;2;8;3.0
5;Curve;3;8;3.15
6;Curve 2;4;8;3.13
7;Constant;1;8;2.85
8;Block;2;8;2.83
9;Curve;3;8;3.0
10;Block;2;8;2.96
11;Constant;1;8;2.7
12;Curve 2;4;8;3.32
13;Constant;1;8;2.14
14;Block;2;8;3.05
15;Curve;3;8;3.1
16;Curve 2;4;8;3.2
17;Constant;1;8;2.0
18;Curve 2;4;8;2.95
19;Curve;3;8;2.82
20;Block;2;8;3.04
1;Constant;1;9;1.85
2;Curve 2;4;9;3.0
3;Curve;3;9;3.0
4;Block;2;9;2.96
5;Curve;3;9;3.13
6;Curve 2;4;9;2.94
7;Constant;1;9;3.13
8;Block;2;9;3.13
9;Curve;3;9;3.18
10;Block;2;9;3.0
11;Constant;1;9;2.8
12;Curve 2;4;9;3.39
13;Constant;1;9;2.91
14;Block;2;9;3.36
15;Curve;3;9;3.36
16;Curve 2;4;9;4.22
17;Constant;1;9;2.96
18;Curve 2;4;9;3.2
19;Curve;3;9;3.1
20;Block;2;9;2.23
1;Constant;1;10;2.4
2;Curve 2;4;10;3.79
3;Curve;3;10;3.7
4;Block;2;10;3.75
5;Curve;3;10;4.19
6;Curve 2;4;10;4.48
7;Constant;1;10;3.95
8;Block;2;10;3.83
9;Curve;3;10;3.83
10;Block;2;10;3.6
11;Constant;1;10;3.55
12;Curve 2;4;10;3.97
13;Constant;1;10;3.11
14;Block;2;10;2.82
15;Curve;3;10;4.45
16;Curve 2;4;10;4.65
17;Constant;1;10;2.7
18;Curve 2;4;10;4.0
19;Curve;3;10;3.63
20;Block;2;10;3.35
1;Constant;1;13;3.26
2;Curve 2;4;13;4.87
3;Curve;3;13;4.82
4;Block;2;13;4.97
5;Curve;3;13;5.0
6;Curve 2;4;13;5.0
7;Constant;1;13;4.6
8;Block;2;13;5.0
9;Curve;3;13;5.0
10;Block;2;13;5.0
11;Constant;1;13;4.6
12;Curve 2;4;13;5.0
13;Constant;1;13;4.4
14;Block;2;13;5.0
15;Curve;3;13;5.0
16;Curve 2;4;13;5.0
17;Constant;1;13;3.87
18;Curve 2;4;13;5.0
19;Curve;3;13;4.5
20;Block;2;13;5.0
1;Constant;1;14;3.64
2;Curve 2;4;14;5.0
3;Curve;3;14;4.74
4;Block;2;14;5.0
5;Curve;3;14;5.0
6;Curve 2;4;14;5.0
7;Constant;1;14;5.0
8;Block;2;14;5.0
9;Curve;3;14;4.7
10;Block;2;14;5.0
11;Constant;1;14;5.0
12;Curve 2;4;14;5.0
13;Constant;1;14;4.57
14;Block;2;14;5.0
15;Curve;3;14;5.0
16;Curve 2;4;14;5.0
17;Constant;1;14;4.0
18;Curve 2;4;14;5.0
19;Curve;3;14;5.0
20;Block;2;14;5.0
1;Constant;1;15;4.0
2;Curve 2;4;15;5.0
3;Curve;3;15;5.0
4;Block;2;15;5.0
5;Curve;3;15;5.0
6;Curve 2;4;15;5.0
7;Constant;1;15;5.0
8;Block;2;15;5.0
9;Curve;3;15;5.0
10;Block;2;15;5.0
11;Constant;1;15;5.0
12;Curve 2;4;15;5.0
13;Constant;1;15;5.0
14;Block;2;15;5.0
15;Curve;3;15;5.0
16;Curve 2;4;15;5.0
17;Constant;1;15;4.0
18;Curve 2;4;15;5.0
19;Curve;3;15;5.0
20;Block;2;15;5.0
1;Constant;1;16;3.74
2;Curve 2;4;16;5.0
3;Curve;3;16;5.0
4;Block;2;16;5.0
5;Curve;3;16;5.0
6;Curve 2;4;16;5.0
7;Constant;1;16;5.0
8;Block;2;16;5.0
9;Curve;3;16;4.95
10;Block;2;16;5.0
11;Constant;1;16;5.0
12;Curve 2;4;16;5.0
13;Constant;1;16;4.75
14;Block;2;16;5.0
15;Curve;3;16;5.0
16;Curve 2;4;16;5.0
17;Constant;1;16;5.0
18;Curve 2;4;16;5.0
19;Curve;3;16;5.0
20;Block;2;16;5.0
1;Constant;1;17;4.65
2;Curve 2;4;17;5.0
3;Curve;3;17;5.0
4;Block;2;17;5.0
5;Curve;3;17;5.0
6;Curve 2;4;17;5.0
7;Constant;1;17;5.0
8;Block;2;17;5.0
9;Curve;3;17;5.0
10;Block;2;17;5.0
11;Constant;1;17;5.0
12;Curve 2;4;17;5.0
13;Constant;1;17;5.0
14;Block;2;17;5.0
15;Curve;3;17;5.0
16;Curve 2;4;17;5.0
17;Constant;1;17;4.96
18;Curve 2;4;17;5.0
19;Curve;3;17;5.0
20;Block;2;17;5.0
1;Constant;1;20;4.96
2;Curve 2;4;20;5.0
3;Curve;3;20;5.0
4;Block;2;20;5.0
5;Curve;3;20;5.0
6;Curve 2;4;20;5.0
7;Constant;1;20;5.0
8;Block;2;20;5.0
9;Curve;3;20;4.88
10;Block;2;20;5.0
11;Constant;1;20;5.0
12;Curve 2;4;20;5.0
13;Constant;1;20;4.95
14;Block;2;20;5.0
15;Curve;3;20;5.0
16;Curve 2;4;20;5.0
17;Constant;1;20;5.0
18;Curve 2;4;20;5.0
19;Curve;3;20;5.0
20;Block;2;20;5.0
1;Constant;1;21;5.0
2;Curve 2;4;21;5.0
