Day;Container;Treatment;Tr. nb;Density;Adults1;Adults
1;1;Constant;1;200;0;0
1;2;Curve 2;4;200;0;0
1;3;Curve;3;200;0;0
1;4;Block;2;200;0;0
1;5;Curve;3;200;0;0
1;6;Curve 2;4;200;0;0
1;7;Constant;1;200;0;0
1;8;Block;2;200;0;0
1;9;Curve;3;200;0;0
1;10;Block;2;200;0;0
1;11;Constant;1;200;0;0
1;12;Curve 2;4;200;0;0
1;13;Constant;1;200;0;0
1;14;Block;2;200;0;0
1;15;Curve;3;200;0;0
1;16;Curve 2;4;200;0;0
1;17;Constant;1;200;0;0
1;18;Curve 2;4;200;0;0
1;19;Curve;3;200;0;0
1;20;Block;2;200;0;0
2;1;Constant;1;200;0;0
2;2;Curve 2;4;200;0;0
2;3;Curve;3;200;0;0
2;4;Block;2;200;0;0
2;5;Curve;3;200;0;0
2;6;Curve 2;4;200;0;0
2;7;Constant;1;200;0;0
2;8;Block;2;200;0;0
2;9;Curve;3;200;0;0
2;10;Block;2;200;0;0
2;11;Constant;1;200;0;0
2;12;Curve 2;4;200;0;0
2;13;Constant;1;200;0;0
2;14;Block;2;200;0;0
2;15;Curve;3;200;0;0
2;16;Curve 2;4;200;0;0
2;17;Constant;1;200;0;0
2;18;Curve 2;4;200;0;0
2;19;Curve;3;200;0;0
2;20;Block;2;200;0;0
3;1;Constant;1;200;0;0
3;2;Curve 2;4;200;0;0
3;3;Curve;3;200;0;0
3;4;Block;2;200;0;0
3;5;Curve;3;200;0;0
3;6;Curve 2;4;200;0;0
3;7;Constant;1;200;0;0
3;8;Block;2;200;0;0
3;9;Curve;3;200;0;0
3;10;Block;2;200;0;0
3;11;Constant;1;200;0;0
3;12;Curve 2;4;200;0;0
3;13;Constant;1;200;0;0
3;14;Block;2;200;0;0
3;15;Curve;3;200;0;0
3;16;Curve 2;4;200;0;0
3;17;Constant;1;200;0;0
3;18;Curve 2;4;200;0;0
3;19;Curve;3;200;0;0
3;20;Block;2;200;0;0
4;1;Constant;1;200;0;0
4;2;Curve 2;4;200;0;0
4;3;Curve;3;200;0;0
4;4;Block;2;200;0;0
4;5;Curve;3;200;0;0
4;6;Curve 2;4;200;0;0
4;7;Constant;1;200;0;0
4;8;Block;2;200;0;0
4;9;Curve;3;200;0;0
4;10;Block;2;200;0;0
4;11;Constant;1;200;0;0
4;12;Curve 2;4;200;0;0
4;13;Constant;1;200;0;0
4;14;Block;2;200;0;0
4;15;Curve;3;200;0;0
4;16;Curve 2;4;200;0;0
4;17;Constant;1;200;0;0
4;18;Curve 2;4;200;0;0
4;19;Curve;3;200;0;0
4;20;Block;2;200;0;0
5;1;Constant;1;200;0;0
5;2;Curve 2;4;200;0;0
5;3;Curve;3;200;0;0
5;4;Block;2;200;0;0
