Container;Treatment;Tr. nb;Day;Surface
1;Constant;1;1;116.19
2;Curve 2;4;1;NA
3;Curve;3;1;114.49
4;Block;2;1;109.72
5;Curve;3;1;112.09
6;Curve 2;4;1;110.24
7;Constant;1;1;119.92
8;Block;2;1;106.39
9;Curve;3;1;112.91
10;Block;2;1;111.47
11;Constant;1;1;120.86
13;Constant;1;1;116.52
14;Block;2;1;113.72
15;Curve;3;1;114.02
16;Curve 2;4;1;110.12
17;Constant;1;1;117.14
18;Curve 2;4;1;110.04
19;Curve;3;1;NA
20;Block;2;1;106.51
1;Constant;1;2;96.25
2;Curve 2;4;2;107.17
3;Curve;3;2;107.99
4;Block;2;2;105.01
5;Curve;3;2;107.15
6;Curve 2;4;2;110.31
7;Constant;1;2;103.87
8;Block;2;2;96.97
9;Curve;3;2;102.56
10;Block;2;2;107.81
11;Constant;1;2;103.19
13;Constant;1;2;94.95
14;Block;2;2;109.62
15;Curve;3;2;108.90
16;Curve 2;4;2;108.68
17;Constant;1;2;92.26
18;Curve 2;4;2;106.46
19;Curve;3;2;101.63
20;Block;2;2;100.37
1;Constant;1;3;81.34
2;Curve 2;4;3;106.20
3;Curve;3;3;105.54
4;Block;2;3;98.16
5;Curve;3;3;108.05
6;Curve 2;4;3;110.37
7;Constant;1;3;105.47
8;Block;2;3;NA
9;Curve;3;3;98.39
10;Block;2;3;103.28
11;Constant;1;3;94.10
13;Constant;1;3;84.19
14;Block;2;3;106.36
15;Curve;3;3;109.25
16;Curve 2;4;3;111.62
17;Constant;1;3;78.94
18;Curve 2;4;3;105.80
19;Curve;3;3;99.46
20;Block;2;3;99.92
1;Constant;1;4;89.46
2;Curve 2;4;4;106.48
3;Curve;3;4;108.61
4;Block;2;4;95.97
5;Curve;3;4;108.63
6;Curve 2;4;4;112.60
7;Constant;1;4;106.53
8;Block;2;4;95.23
9;Curve;3;4;100.10
10;Block;2;4;98.65
11;Constant;1;4;100.07
13;Constant;1;4;89.20
14;Block;2;4;101.06
15;Curve;3;4;108.02
16;Curve 2;4;4;111.94
17;Constant;1;4;83.57
18;Curve 2;4;4;104.54
19;Curve;3;4;99.87
20;Block;2;4;92.48
1;Constant;1;5;84.65
2;Curve 2;4;5;102.96
3;Curve;3;5;108.51
4;Block;2;5;98.02
5;Curve;3;5;110.74
6;Curve 2;4;5;108.22
7;Constant;1;5;104.60
8;Block;2;5;91.42
9;Curve;3;5;99.46
10;Block;2;5;102.65
11;Constant;1;5;94.86
