Day,quarter,Treatment,Cosm,Temperature
1,56,constant,programmed,17
1,57,constant,programmed,17
1,58,constant,programmed,17
1,59,constant,programmed,17
1,60,constant,programmed,17
1,61,constant,programmed,17
1,62,constant,programmed,17
1,63,constant,programmed,17
1,64,constant,programmed,17
1,65,constant,programmed,17
1,66,constant,programmed,17
1,67,constant,programmed,17
1,68,constant,programmed,17
1,69,constant,programmed,17
1,70,constant,programmed,17
1,71,constant,programmed,17
1,72,constant,programmed,17
1,73,constant,programmed,17
1,74,constant,programmed,17
1,75,constant,programmed,17
1,76,constant,programmed,17
1,77,constant,programmed,17
1,78,constant,programmed,17
1,79,constant,programmed,17
1,80,constant,programmed,17
1,81,constant,programmed,17
1,82,constant,programmed,17
1,83,constant,programmed,17
1,84,constant,programmed,17
1,85,constant,programmed,17
1,86,constant,programmed,17
1,87,constant,programmed,17
1,88,constant,programmed,17
1,89,constant,programmed,17
1,90,constant,programmed,17
1,91,constant,programmed,17
1,92,constant,programmed,17
1,93,constant,programmed,17
1,94,constant,programmed,17
1,95,constant,programmed,17
1,96,constant,programmed,17
2,1,constant,programmed,17
2,2,constant,programmed,17
2,3,constant,programmed,17
2,4,constant,programmed,17
2,5,constant,programmed,17
2,6,constant,programmed,17
2,7,constant,programmed,17
2,8,constant,programmed,17
2,9,constant,programmed,17
2,10,constant,programmed,17
2,11,constant,programmed,17
2,12,constant,programmed,17
2,13,constant,programmed,17
2,14,constant,programmed,17
2,15,constant,programmed,17
2,16,constant,programmed,17
2,17,constant,programmed,17
2,18,constant,programmed,17
2,19,constant,programmed,17
2,20,constant,programmed,17
2,21,constant,programmed,17
2,22,constant,programmed,17
2,23,constant,programmed,17
2,24,constant,programmed,17
2,25,constant,programmed,17
2,26,constant,programmed,17
2,27,constant,programmed,17
2,28,constant,programmed,17
2,29,constant,programmed,17
2,30,constant,programmed,17
2,31,constant,programmed,17
2,32,constant,programmed,17
2,33,constant,programmed,17
2,34,constant,programmed,17
2,35,constant,programmed,17
2,36,constant,programmed,17
2,37,constant,programmed,17
2,38,constant,programmed,17
2,39,constant,programmed,17
2,40,constant,programmed,17
2,41,constant,programmed,17
2,42,constant,programmed,17
2,43,constant,programmed,17
2,44,constant,programmed,17
2,45,constant,programmed,17
2,46,constant,programmed,17
2,47,constant,programmed,17
2,48,constant,programmed,17
2,49,constant,programmed,17
2,50,constant,programmed,17
2,51,constant,programmed,17
2,52,constant,programmed,17
2,53,constant,programmed,17
2,54,constant,programmed,17
2,55,constant,programmed,17
2,56,constant,programmed,17
2,57,constant,programmed,17
2,58,constant,programmed,17
2,59,constant,programmed,17
2,60,constant,programmed,17
2,61,constant,programmed,17
2,62,constant,programmed,17
2,63,constant,programmed,17
2,64,constant,programmed,17
2,65,constant,programmed,17
2,66,constant,programmed,17
2,67,constant,programmed,17
2,68,constant,programmed,17
2,69,constant,programmed,17
2,70,constant,programmed,17
2,71,constant,programmed,17
2,72,constant,programmed,17
2,73,constant,programmed,17
2,74,constant,programmed,17
2,75,constant,programmed,17
2,76,constant,programmed,17
2,77,constant,programmed,17
2,78,constant,programmed,17
2,79,constant,programmed,17
2,80,constant,programmed,17
2,81,constant,programmed,17
2,82,constant,programmed,17
2,83,constant,programmed,17
2,84,constant,programmed,17
2,85,constant,programmed,17
2,86,constant,programmed,17
2,87,constant,programmed,17
2,88,constant,programmed,17
2,89,constant,programmed,17
2,90,constant,programmed,17
2,91,constant,programmed,17
2,92,constant,programmed,17
2,93,constant,programmed,17
2,94,constant,programmed,17
2,95,constant,programmed,17
2,96,constant,programmed,17
3,1,constant,programmed,17
3,2,constant,programmed,17
3,3,constant,programmed,17
3,4,constant,programmed,17
3,5,constant,programmed,17
3,6,constant,programmed,17
3,7,constant,programmed,17
3,8,constant,programmed,17
3,9,constant,programmed,17
3,10,constant,programmed,17
3,11,constant,programmed,17
3,12,constant,programmed,17
3,13,constant,programmed,17
3,14,constant,programmed,17
3,15,constant,programmed,17
3,16,constant,programmed,17
3,17,constant,programmed,17
3,18,constant,programmed,17
3,19,constant,programmed,17
3,20,constant,programmed,17
3,21,constant,programmed,17
3,22,constant,programmed,17
3,23,constant,programmed,17
3,24,constant,programmed,17
3,25,constant,programmed,17
3,26,constant,programmed,17
3,27,constant,programmed,17
3,28,constant,programmed,17
3,29,constant,programmed,17
3,30,constant,programmed,17
3,31,constant,programmed,17
3,32,constant,programmed,17
3,33,constant,programmed,17
3,34,constant,programmed,17
3,35,constant,programmed,17
3,36,constant,programmed,17
3,37,constant,programmed,17
3,38,constant,programmed,17
3,39,constant,programmed,17
3,40,constant,programmed,17
3,41,constant,programmed,17
3,42,constant,programmed,17
3,43,constant,programmed,17
3,44,constant,programmed,17
3,45,constant,programmed,17
3,46,constant,programmed,17
3,47,constant,programmed,17
3,48,constant,programmed,17
3,49,constant,programmed,17
3,50,constant,programmed,17
3,51,constant,programmed,17
3,52,constant,programmed,17
3,53,constant,programmed,17
3,54,constant,programmed,17
3,55,constant,programmed,17
3,56,constant,programmed,17
3,57,constant,programmed,17
3,58,constant,programmed,17
3,59,constant,programmed,17
3,60,constant,programmed,17
3,61,constant,programmed,17
3,62,constant,programmed,17
3,63,constant,programmed,17
3,64,constant,programmed,17
3,65,constant,programmed,17
3,66,constant,programmed,17
3,67,constant,programmed,17
3,68,constant,programmed,17
3,69,constant,programmed,17
3,70,constant,programmed,17
3,71,constant,programmed,17
3,72,constant,programmed,17
3,73,constant,programmed,17
3,74,constant,programmed,17
3,75,constant,programmed,17
3,76,constant,programmed,17
3,77,constant,programmed,17
3,78,constant,programmed,17
3,79,constant,programmed,17
3,80,constant,programmed,17
3,81,constant,programmed,17
3,82,constant,programmed,17
3,83,constant,programmed,17
3,84,constant,programmed,17
3,85,constant,programmed,17
3,86,constant,programmed,17
3,87,constant,programmed,17
3,88,constant,programmed,17
3,89,constant,programmed,17
3,90,constant,programmed,17
3,91,constant,programmed,17
3,92,constant,programmed,17
3,93,constant,programmed,17
3,94,constant,programmed,17
3,95,constant,programmed,17
3,96,constant,programmed,17
4,1,constant,programmed,17
4,2,constant,programmed,17
4,3,constant,programmed,17
4,4,constant,programmed,17
4,5,constant,programmed,17
4,6,constant,programmed,17
4,7,constant,programmed,17
4,8,constant,programmed,17
4,9,constant,programmed,17
4,10,constant,programmed,17
4,11,constant,programmed,17
4,12,constant,programmed,17
4,13,constant,programmed,17
4,14,constant,programmed,17
4,15,constant,programmed,17
4,16,constant,programmed,17
4,17,constant,programmed,17
4,18,constant,programmed,17
4,19,constant,programmed,17
4,20,constant,programmed,17
4,21,constant,programmed,17
4,22,constant,programmed,17
4,23,constant,programmed,17
4,24,constant,programmed,17
4,25,constant,programmed,17
4,26,constant,programmed,17
4,27,constant,programmed,17
4,28,constant,programmed,17
4,29,constant,programmed,17
4,30,constant,programmed,17
4,31,constant,programmed,17
4,32,constant,programmed,17
4,33,constant,programmed,17
4,34,constant,programmed,17
4,35,constant,programmed,17
4,36,constant,programmed,17
4,37,constant,programmed,17
4,38,constant,programmed,17
4,39,constant,programmed,17
4,40,constant,programmed,17
4,41,constant,programmed,17
4,42,constant,programmed,17
4,43,constant,programmed,17
4,44,constant,programmed,17
4,45,constant,programmed,17
4,46,constant,programmed,17
4,47,constant,programmed,17
4,48,constant,programmed,17
4,49,constant,programmed,17
4,50,constant,programmed,17
4,51,constant,programmed,17
4,52,constant,programmed,17
4,53,constant,programmed,17
4,54,constant,programmed,17
4,55,constant,programmed,17
4,56,constant,programmed,17
4,57,constant,programmed,17
4,58,constant,programmed,17
4,59,constant,programmed,17
4,60,constant,programmed,17
4,61,constant,programmed,17
4,62,constant,programmed,17
4,63,constant,programmed,17
4,64,constant,programmed,17
4,65,constant,programmed,17
4,66,constant,programmed,17
4,67,constant,programmed,17
4,68,constant,programmed,17
4,69,constant,programmed,17
4,70,constant,programmed,17
4,71,constant,programmed,17
4,72,constant,programmed,17
4,73,constant,programmed,17
4,74,constant,programmed,17
4,75,constant,programmed,17
4,76,constant,programmed,17
4,77,constant,programmed,17
4,78,constant,programmed,17
4,79,constant,programmed,17
4,80,constant,programmed,17
4,81,constant,programmed,17
4,82,constant,programmed,17
4,83,constant,programmed,17
4,84,constant,programmed,17
4,85,constant,programmed,17
4,86,constant,programmed,17
4,87,constant,programmed,17
4,88,constant,programmed,17
4,89,constant,programmed,17
4,90,constant,programmed,17
4,91,constant,programmed,17
4,92,constant,programmed,17
4,93,constant,programmed,17
4,94,constant,programmed,17
4,95,constant,programmed,17
4,96,constant,programmed,17
5,1,constant,programmed,17
5,2,constant,programmed,17
5,3,constant,programmed,17
5,4,constant,programmed,17
5,5,constant,programmed,17
5,6,constant,programmed,17
5,7,constant,programmed,17
5,8,constant,programmed,17
5,9,constant,programmed,17
5,10,constant,programmed,17
5,11,constant,programmed,17
5,12,constant,programmed,17
5,13,constant,programmed,17
5,14,constant,programmed,17
5,15,constant,programmed,17
5,16,constant,programmed,17
5,17,constant,programmed,17
5,18,constant,programmed,17
5,19,constant,programmed,17
5,20,constant,programmed,17
5,21,constant,programmed,17
5,22,constant,programmed,17
5,23,constant,programmed,17
5,24,constant,programmed,17
5,25,constant,programmed,17
5,26,constant,programmed,17
5,27,constant,programmed,17
5,28,constant,programmed,17
5,29,constant,programmed,17
5,30,constant,programmed,17
5,31,constant,programmed,17
5,32,constant,programmed,17
5,33,constant,programmed,17
5,34,constant,programmed,17
5,35,constant,programmed,17
5,36,constant,programmed,17
5,37,constant,programmed,17
5,38,constant,programmed,17
5,39,constant,programmed,17
5,40,constant,programmed,17
5,41,constant,programmed,17
5,42,constant,programmed,17
5,43,constant,programmed,17
5,44,constant,programmed,17
5,45,constant,programmed,17
5,46,constant,programmed,17
5,47,constant,programmed,17
5,48,constant,programmed,17
5,49,constant,programmed,17
5,50,constant,programmed,17
5,51,constant,programmed,17
5,52,constant,programmed,17
5,53,constant,programmed,17
5,54,constant,programmed,17
5,55,constant,programmed,17
5,56,constant,programmed,17
5,57,constant,programmed,17
5,58,constant,programmed,17
5,59,constant,programmed,17
5,60,constant,programmed,17
5,61,constant,programmed,17
5,62,constant,programmed,17
5,63,constant,programmed,17
5,64,constant,programmed,17
5,65,constant,programmed,17
5,66,constant,programmed,17
5,67,constant,programmed,17
5,68,constant,programmed,17
5,69,constant,programmed,17
5,70,constant,programmed,17
5,71,constant,programmed,17
5,72,constant,programmed,17
